GW_EB_INdt Port1M Port1T Port2M Port2T Port3M Port3T Port4M Port4T Port5M Port5T
2018-07-06 0.289068035335393 16.3520833333333 0.366257085617666 17.2666666666667 0.359454197663931 16.9145833333333 0.398443725686603 16.6291666666667 0.39162687489622 17.1666666666667
2018-07-07 0.270067235162952 19.5 0.364388574254122 18.0604166666667 0.346648206350852 18.8041666666667 0.387761262520963 18.5875 0.394260468819274 17.76875
2018-07-08 0.253624648183578 18.7479166666667 0.351035477847925 18.4125 0.335482433270783 18.60625 0.369489808708018 18.23125 0.379287344195362 17.9895833333333
2018-07-09 0.242616155908888 21.4520833333333 0.343499719960934 19.4770833333333 0.311166287329337 20.225 0.346049926501353 19.5520833333333 0.369802526622219 18.5979166666667
2018-07-10 0.225395934887271 18.8520833333333 0.335272818553081 19.0541666666667 0.287990643453142 18.6354166666667 0.315343182221928 18.2208333333333 0.359432779550471 18.4125
2018-07-11 0.256719150795249 18.0875 0.343578512317208 18.2854166666667 0.34201271412309 18.0708333333333 0.378582292642928 17.5541666666667 0.376314286994162 17.7916666666667
2018-07-12 0.237211502903011 19.09375 0.338039322982067 18.2708333333333 0.317081643496484 17.9770833333333 0.354053975185109 17.4541666666667 0.370181500557643 17.40625
2018-07-13 0.218549497646272 20.9041666666667 0.329818458423626 19.225 0.280667341449718 19.2625 0.317598210793022 18.7291666666667 0.35747071398732 18.1354166666667
2018-07-14 0.197774192165646 20.61875 0.319070985984908 19.5270833333333 0.244384822101108 19.5041666666667 0.279356182224595 18.9395833333333 0.341321114638722 18.5
2018-07-15 0.251754786281762 20.4208333333333 0.337432055127319 19.6145833333333 0.323382665605876 19.7895833333333 0.361988794260272 19.0333333333333 0.366383590075688 18.6895833333333
2018-07-16 0.257805201878336 20.9854166666667 0.34580045845958 19.9395833333333 0.339110458727105 20.0083333333333 0.383910376081973 19.2875 0.383555178008104 18.9583333333333
2018-07-17 0.234813425000475 19.5229166666667 0.335197841873287 19.4520833333333 0.324118299014668 19.5416666666667 0.359202946848104 18.3520833333333 0.372006967667078 18.5229166666667
2018-07-18 0.219289315093408 21.6541666666667 0.324935084952829 19.9833333333333 0.31046303023623 20.3916666666667 0.333081434746214 19.45 0.360319581941008 18.8729166666667
2018-07-19 0.191221042637044 22.7708333333333 0.306306952060132 20.7708333333333 0.260103898299178 20.3666666666667 0.286825967228842 19.6729166666667 0.340964561328653 19.2645833333333
2018-07-20 0.166121384732279 22.0354166666667 0.283142546379175 20.8 0.218843157785481 20.5333333333333 0.253287810732956 19.5479166666667 0.321437550586104 19.3875
2018-07-21 0.16453762658586 19.9 0.272354393043225 20.0729166666667 0.287992456053909 19.6229166666667 0.276526480862735 19.0020833333333 0.315478952989719 19.2041666666667
2018-07-22 0.248023038188266 18.2645833333333 0.272714767390011 18.875 0.340569205808408 18.4395833333333 0.38254708390752 17.9708333333333 0.366723369731778 18.4333333333333
2018-07-23 0.280750759550403 19.3354166666667 0.356167438957845 18.7916666666667 0.347039030198644 18.74375 0.399670332437605 18.3833333333333 0.405895498923029 18.29375
2018-07-24 0.254569195458686 21.41875 0.347730835775945 19.7729166666667 0.321652945253168 19.1291666666667 0.366499564896974 18.7 0.381014870518341 18.4625
